"{""data_time"":",eta_seconds:,iteration:,fast_rcnn/false_negative:,fast_rcnn/fg_cls_accuracy:,fast_rcnn/fg_cls_accuracy:,,loss_box_reg:,loss_cls:,loss_mask:,loss_rpn_cls:,loss_rpn_loc:,Total Loss,lr:,mask_rcnn/accuracy:,mask_rcnn/false_negative:,mask_rcnn/false_positive:,Precision,Recall,Recall,,Val,roi_head/num_bg_samples:,roi_head/num_fg_samples:,rpn/num_neg_anchors:,rpn/num_pos_anchors:,time:,total_loss:,,,Epoch,total_loss:,total_loss:,Val_loss:,,,Total Loss,,,,,,,iteration:,Total Loss,total_loss:,,,,,Epoch,Training Loss,Validation Loss,,,,,iteration:,Total Loss,,,,Epoch,Training Loss,,Validation Loss,,,,,Epoch,Training Loss,Validation Loss,,Epoch,Training,Validation
0.357037806,5257.833593,1159,0.932226563,0.177288647,0.810456378,,0.32741943,0.17375727,0.244217001,0.012015181,0.114372019,0.8717809,0.0025,0.893857428,0.160016823,0.069696606,0.927667154,0.848163267,,,1.123570857,480,160,145.875,110.125,2.556342352,0.871532327,,,999,1.449396461,2.899396461,3.609375383,,0.08717809,0.8717809,1.33,0.334,,,,,999,1.416662388,1.449396461,,,,,999,1.449396461,3.609375383,,,,,999,1.416662388,0.872711668,,,999,1.472596914,1.449396461,3.771180414,3.609375383,,,,999,1.595140768,3.748481101,,177.6,1.478511117,3.755262338
0.35367877,5206.631545,1179,0.937890625,0.15811832,0.831802703,,0.315987572,0.16409681,0.236845814,0.011095659,0.108728278,0.836754133,0.0025,0.895668248,0.155817643,0.071286572,0.926277246,0.851811951,,,1.122772462,480.3125,159.6875,148,108,2.570682048,0.828357422,,,999,0.974164076,2.424164076,2.975237798,,0.083675413,0.836754133,1.331,0.335,,,,,999,0.97368161,0.974164076,,,,,999,0.974164076,2.975237798,,,,,999,0.97368161,0.520544441,,,999,0.793092151,0.974164076,2.866571299,2.975237798,,,,999,0.922244949,2.959133502,,177.6,0.929387545,2.9710747
0.357070632,5154.290405,1199,0.9359375,0.166516574,0.824220674,,0.303140998,0.163402043,0.2396762,0.011173967,0.109142985,0.826536193,0.0025,0.896632878,0.154160037,0.067647121,0.929847014,0.853291705,,,1.118440036,480,160,146.5625,109.4375,2.569240414,0.824741456,,,999,0.951488287,2.401488287,2.945436018,,0.082653619,0.826536193,1.332,0.336,,,,,999,0.947995664,0.951488287,,,,,999,0.951488287,2.945436018,,,,,999,0.947995664,0.308729426,,,999,0.759799207,0.951488287,2.934277105,2.945436018,,,,999,1.165430725,3.151556823,,177.6,0.962499141,3.120467955
0.363796506,5103.529931,1219,0.941699219,0.151510351,0.843422491,,0.299967691,0.152409315,0.232845344,0.012246507,0.110742517,0.808211374,0.0025,0.899155473,0.151250473,0.071627486,0.926216787,0.8560076,,,1.122033431,480,160,145.625,110.375,2.575070797,0.804317328,,,1019,0.977651509,2.427651509,2.979880599,,0.080821137,0.808211374,1.333,0.337,,,,,1019,0.954753707,0.977651509,,,,,1019,0.977651509,2.979880599,,,,,1019,0.954753707,0.923766338,,,1019,0.895830994,0.977651509,2.876226319,2.979880599,,,,1019,0.778249143,2.738021865,,181.1555556,1.135784452,3.000289671
0.359215237,5054.059283,1239,0.940429688,0.161141134,0.831353989,,0.28991881,0.155516297,0.230233811,0.009597096,0.105308078,0.790574091,0.0025,0.900168658,0.152231948,0.065504047,0.932167445,0.855347909,,,1.117904653,480,160,146,110,2.590513452,0.794830991,,,1019,0.922266846,2.372266846,2.905661382,,0.079057409,0.790574091,1.334,0.338,,,,,1019,0.926560804,0.922266846,,,,,1019,0.922266846,2.905661382,,,,,1019,0.926560804,1.351811008,,,1019,0.792991613,0.922266846,2.753933748,2.905661382,,,,1019,0.671002037,2.65041224,,181.1555556,0.957082756,2.820114941
0.35369091,4999.733899,1259,0.941015625,0.151708027,0.844296364,,0.284056306,0.150705248,0.229186431,0.008627092,0.100933485,0.773508562,0.0025,0.901025391,0.152201996,0.067103209,0.930687711,0.855489899,,,1.120330596,480,160,144.8125,111.1875,2.563935362,0.785103493,,,1019,0.952103499,2.402103499,2.945159027,,0.077350856,0.773508562,1.335,0.339,,,,,1019,0.934411867,0.952103499,,,,,1019,0.952103499,2.945159027,,,,,1019,0.934411867,0.90257273,,,1019,1.07602162,0.952103499,3.121981538,2.945159027,,,,1019,0.855065572,2.706641312,,181.1555556,0.775333844,2.990365724
0.345895124,4947.72927,1279,0.941308594,0.150234506,0.840758626,,0.275873959,0.147604614,0.23002959,0.009678276,0.092259459,0.755445899,0.0025,0.900072744,0.142597312,0.068065117,0.929694809,0.863238317,,,1.110735173,483,157,147.5,108.5,2.565884881,0.752067917,,,1019,1.332934215,2.782934215,3.453544701,,0.07554459,0.755445899,1.336,0.34,,,,,1019,1.333871158,1.332934215,,,,,1019,1.332934215,3.453544701,,,,,1019,1.333871158,1.427084597,,,1019,1.411842124,1.332934215,3.356666431,3.453544701,,,,1019,1.142751255,3.702376399,,181.1555556,1.432320386,3.289732025
0.354617252,4896.265581,1299,0.943847656,0.130221099,0.863671875,,0.272879869,0.143831313,0.226832457,0.008839033,0.094367988,0.74675066,0.0025,0.901820287,0.145006343,0.0666469,0.93118311,0.861480078,,,1.11347353,480,160,146.25,109.75,2.582176083,0.737037395,,,1019,0.92398184,2.37398184,2.907688786,,0.074675066,0.74675066,1.337,0.341,,,,,1019,0.933283327,0.92398184,,,,,1019,0.92398184,2.907688786,,,,,1019,0.933283327,0.604169801,,,1019,0.85513771,0.92398184,2.730928262,2.907688786,,,,1019,0.84762753,3.084151424,,181.1555556,1.058386703,2.761605986
0.351730749,4844.651577,1319,0.944042969,0.142210678,0.847898115,,0.275205716,0.143716089,0.225530118,0.008435374,0.098857276,0.751744573,0.0025,0.901974233,0.148748075,0.067542246,0.930334092,0.858432553,,,1.118264554,483.375,156.625,145.75,110.25,2.575726952,0.746135412,,,1019,0.9559184,2.4059184,2.952293277,,0.075174457,0.751744573,1.338,0.342,,,,,1019,0.946296879,0.9559184,,,,,1019,0.9559184,2.952293277,,,,,1019,0.946296879,1.095171472,,,1019,0.858803683,0.9559184,2.768106508,2.952293277,,,,1019,1.225705581,2.688675244,,181.1555556,0.925801876,2.955848238
0.350221384,4792.541439,1339,0.946191406,0.136072379,0.854908578,,0.267269731,0.133325763,0.216448247,0.009291104,0.09258822,0.718923065,0.0025,0.906413594,0.141489074,0.066693504,0.931463346,0.864978802,,,1.114596172,480.1875,159.8125,148.6875,107.3125,2.567615365,0.694983368,,,1039,0.926971243,2.376971243,2.911656801,,0.071892307,0.718923065,1.339,0.343,,,,,1039,0.92994618,0.926971243,,,,,1039,0.926971243,2.911656801,,,,,1039,0.92994618,1.05224953,,,1039,0.814042904,0.926971243,2.74165723,2.911656801,,,,1039,1.012882033,3.031624726,,184.7111111,1.099848652,2.818817119
