 epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,Total Loss,Total Val,,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,,,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
35,1.8829,4.0056,1.5108,1.4803,7.3993,7.5691,,0.3623,0.29299,0.26907,0.13513,0.17289,0.12183,0.0818,0.02891,1.9651,3.9562,1.6478,,,1.5435,0.0093268,0.0093268,0.0093268
36,1.8881,3.9024,1.4646,1.4978,7.2551,7.2517,,0.41967,0.31882,0.31657,0.15462,0.16955,0.12924,0.08884,0.03173,1.9072,3.8697,1.4748,,,1.5357,0.009307,0.009307,0.009307
37,1.9292,3.9511,1.4891,1.5154,7.3694,7.0313,,0.48127,0.32685,0.34809,0.17558,0.20767,0.15245,0.11653,0.03885,1.8467,3.7693,1.4153,,,1.5057,0.0092872,0.0092872,0.0092872
38,1.9101,3.9979,1.4977,1.5032,7.4057,7.0313,,0.48127,0.32685,0.34809,0.17558,0.20767,0.15245,0.11653,0.03885,1.8467,3.7693,1.4153,,,1.5057,0.0092674,0.0092674,0.0092674
39,1.8616,4.0156,1.419,1.4853,7.2962,7.2153,,0.41747,0.33552,0.33476,0.1659,0.20177,0.1785,0.12437,0.04114,1.9027,3.8629,1.4497,,,1.5398,0.0092476,0.0092476,0.0092476
40,1.86,3.9347,1.4404,1.5028,7.2351,6.9319,,0.39473,0.33759,0.33226,0.17478,0.20623,0.14899,0.10256,0.03637,1.7849,3.7416,1.4054,,,1.4819,0.0092278,0.0092278,0.0092278
41,1.8623,3.8491,1.4142,1.4719,7.1256,6.9332,,0.43931,0.34121,0.35033,0.17146,0.22243,0.19683,0.1352,0.04496,1.8506,3.6288,1.4538,,,1.4769,0.009208,0.009208,0.009208
42,1.8313,3.7446,1.4344,1.4214,7.0103,6.9332,,0.43931,0.34121,0.35033,0.17146,0.22243,0.19683,0.1352,0.04496,1.8506,3.6288,1.4538,,,1.4769,0.0091882,0.0091882,0.0091882
43,1.8601,3.8202,1.4146,1.4829,7.0949,6.8254,,0.42677,0.37023,0.34659,0.17693,0.24055,0.18696,0.13302,0.04242,1.8093,3.6375,1.3786,,,1.4958,0.0091684,0.0091684,0.0091684
44,1.795,3.6747,1.369,1.4459,6.8387,7.4751,,0.36325,0.35456,0.3086,0.15658,0.14854,0.16348,0.09524,0.03238,1.9349,3.9231,1.6171,,,1.5318,0.0091486,0.0091486,0.0091486
45,1.789,3.7386,1.3805,1.4429,6.9081,6.6461,,0.4992,0.3804,0.37059,0.18215,0.25485,0.20796,0.13271,0.04208,1.7696,3.5343,1.3422,,,1.4464,0.0091288,0.0091288,0.0091288
46,1.8272,3.7217,1.3864,1.4455,6.9353,6.6461,,0.4992,0.3804,0.37059,0.18215,0.25485,0.20796,0.13271,0.04208,1.7696,3.5343,1.3422,,,1.4464,0.009109,0.009109,0.009109
47,1.8432,3.6951,1.4343,1.4776,6.9726,6.8328,,0.47271,0.3523,0.35527,0.175,0.28225,0.16595,0.13089,0.04447,1.8046,3.6613,1.3669,,,1.479,0.0090892,0.0090892,0.0090892
48,1.862,3.7716,1.3771,1.4508,7.0107,7.3597,,0.4193,0.3013,0.30826,0.15679,0.23592,0.1416,0.12197,0.04395,2.0164,3.8779,1.4654,,,1.588,0.0090694,0.0090694,0.0090694
49,1.8044,3.72,1.358,1.4399,6.8824,6.8665,,0.5638,0.33907,0.38352,0.19506,0.3608,0.18935,0.17848,0.05812,1.7981,3.6864,1.382,,,1.4827,0.0090496,0.0090496,0.0090496
50,1.8677,3.6931,1.3763,1.4402,6.9371,6.8665,,0.5638,0.33907,0.38352,0.19506,0.3608,0.18935,0.17848,0.05812,1.7981,3.6864,1.382,,,1.4827,0.0090298,0.0090298,0.0090298
51,1.851,3.8325,1.4282,1.4615,7.1117,7.5666,,0.36091,0.26568,0.24588,0.12941,0.18929,0.13561,0.08287,0.0262,1.9588,3.9866,1.6212,,,1.6144,0.00901,0.00901,0.00901
52,1.8541,3.7945,1.4152,1.4791,7.0638,6.7696,,0.47098,0.36685,0.35034,0.18301,0.28871,0.1845,0.14267,0.05264,1.8114,3.5716,1.3866,,,1.4812,0.0089902,0.0089902,0.0089902
53,1.7225,3.6404,1.2982,1.3758,6.6611,6.5798,,0.44863,0.39411,0.37674,0.19348,0.28018,0.20507,0.15191,0.0511,1.7783,3.4772,1.3243,,,1.4546,0.0089704,0.0089704,0.0089704
